<name4> = <val5>	<name4> に <val5> を代入
<name1> = str ( <name2> )	<name2> を文字列型に置き換えて、 <name1> に代入する
<name1> = str ( <name5> )	<name5> を文字列型に置き換えた結果を <name1> とする
<name3> = str ( <name1> )	文字列に <name1> を置き換え、 <name3> に代入する
<name4> = str ( <name2> )	文字列に <name2> を置き換えた結果を <name4> にする
<name1> = str ( <name3> )	文字列型に <name3> を変換して、 <name1> とする
<name5> = str ( <name3> )	文字列型に <name3> を変換された結果を <name5> に代入する
<name6> = str ( <name5> )	<name5> を文字列型にし、 <name6> にする
<name2> = str ( <name5> )	<name5> を文字列型にした結果を <name2> にする
<name6> = str ( <name2> )	文字列型に <name2> を直して、 <name6> にする
<name3> = str ( <name5> )	文字列型に <name5> を直した結果を <name3> とする
<name5> = str ( <name4> )	文字列型に <name4> を置き換え、 <name5> にする
<name3> = str ( <name1> )	文字列型に <name1> を置き換えた結果を <name3> とする
str ( <name1> )	<name1> を変換した文字列
<name2> = str ( <name3> )	<name3> を変換した文字列を <name2> とする
str ( <name5> )	<name5> を文字列型として取得する
str ( <name1> )	文字列として <name1> を取得する
str ( <name5> )	文字列型として <name5> を取得する
str ( <name6> )	<name6> を文字列として取得する
str ( <name5> )	文字列型として <name5> を得る
str ( <name6> )	文字列として <name6> を得る
str ( <name4> )	<name4> を文字列として得る
str ( <name3> )	<name3> を文字列型として得る
<name1> = str ( <name3> )	<name3> を文字列型として取得して、 <name1> に代入する
<name5> = str ( <name3> )	<name3> を文字列型として取得した結果を <name5> にする
<name1> = str ( <name5> )	文字列型として <name5> を得て、 <name1> にする
<name5> = str ( <name3> )	文字列型として <name3> を得られた結果を <name5> に代入する
<name1> = str ( <name2> )	文字列型として <name2> を取得して、 <name1> とする
<name6> = str ( <name3> )	文字列型として <name3> を取得した結果を <name6> に代入する
<name5> = str ( <name3> )	<name3> を文字列として得、 <name5> とする
<name4> = str ( <name5> )	<name5> を文字列として得た結果を <name4> とする
<name6> = str ( <name3> )	<name3> を文字列型として得て、 <name6> にする
<name4> = str ( <name3> )	<name3> を文字列型として得られた結果を <name4> にする
<name3> = str ( <name6> )	文字列として <name6> を得て、 <name3> に代入する
<name3> = str ( <name4> )	文字列として <name4> を得られた結果を <name3> とする
<name6> = str ( <name4> )	文字列として <name4> を取得して、 <name6> に代入する
<name3> = str ( <name1> )	文字列として <name1> を取得した結果を <name3> とする
<name1> = str ( <name2> )	<name2> を文字列として取得し、 <name1> に代入する
<name6> = str ( <name2> )	<name2> を文字列として取得した結果を <name6> に代入する
list ( <name4> )	<name4> のリスト
<name3> = list ( <name2> )	<name2> のリストを <name3> にする
list ( <name1> )	<name1> をリストに変換する
list ( <name1> )	リストに <name1> を置き換える
list ( <name5> )	リスト型に <name5> をする
list ( <name5> )	<name5> をリストに直す
list ( <name2> )	リストに <name2> をする
list ( <name5> )	<name5> をリストにする
list ( <name2> )	<name2> をリスト型に直す
list ( <name3> )	リスト型に <name3> を置き換える
list ( <name5> )	<name5> をリストに置き換える
list ( <name1> )	リストに <name1> を変換する
list ( <name4> )	リストに <name4> を直す
list ( <name4> )	リスト型に <name4> を変換する
list ( <name3> )	<name3> をリスト型に変換する
list ( <name2> )	<name2> をリスト型に置き換える
list ( <name6> )	<name6> をリスト型にする
list ( <name1> )	リスト型に <name1> を直す
<name6> = list ( <name2> )	<name2> をリストに変換し、 <name6> に代入する
<name5> = list ( <name2> )	<name2> をリストに変換した結果を <name5> とする
<name2> = list ( <name4> )	リスト型に <name4> を直して、 <name2> に代入する
<name1> = list ( <name4> )	リスト型に <name4> を直された結果を <name1> にする
<name4> = list ( <name2> )	リストに <name2> を直し、 <name4> にする
<name6> = list ( <name3> )	リストに <name3> を直した結果を <name6> に代入する
<name4> = list ( <name6> )	<name6> をリスト型に置き換えて、 <name4> にする
<name3> = list ( <name2> )	<name2> をリスト型に置き換えられた結果を <name3> とする
<name6> = list ( <name1> )	<name1> をリスト型に直し、 <name6> とする
<name5> = list ( <name1> )	<name1> をリスト型に直した結果を <name5> にする
<name3> = list ( <name4> )	リストに <name4> を置き換え、 <name3> に代入する
<name3> = list ( <name2> )	リストに <name2> を置き換えられた結果を <name3> に代入する
<name2> = list ( <name1> )	<name1> をリストにして、 <name2> にする
<name1> = list ( <name6> )	<name6> をリストにされた結果を <name1> とする
<name4> = list ( <name3> )	リストに <name3> をし、 <name4> にする
<name5> = list ( <name1> )	リストに <name1> をした結果を <name5> にする
<name5> = list ( <name1> )	リストに <name1> を変換して、 <name5> とする
<name6> = list ( <name3> )	リストに <name3> を変換した結果を <name6> とする
<name5> = list ( <name1> )	<name1> をリストに直して、 <name5> にする
<name4> = list ( <name6> )	<name6> をリストに直した結果を <name4> に代入する
<name6> = list ( <name4> )	リスト型に <name4> を置き換えて、 <name6> にする
<name3> = list ( <name1> )	リスト型に <name1> を置き換えられた結果を <name3> に代入する
<name1> = list ( <name2> )	<name2> をリストに置き換えて、 <name1> にする
<name1> = list ( <name4> )	<name4> をリストに置き換えた結果を <name1> とする
<name1> = list ( <name2> )	<name2> をリスト型にし、 <name1> に代入する
<name2> = list ( <name4> )	<name4> をリスト型にした結果を <name2> とする
<name4> = list ( <name2> )	リスト型に <name2> を変換し、 <name4> とする
<name4> = list ( <name5> )	リスト型に <name5> を変換した結果を <name4> にする
<name3> = list ( <name1> )	<name1> をリスト型に変換して、 <name3> とする
<name1> = list ( <name5> )	<name5> をリスト型に変換された結果を <name1> とする
<name6> = list ( <name3> )	リスト型に <name3> をし、 <name6> にする
<name5> = list ( <name2> )	リスト型に <name2> をした結果を <name5> に代入する
list ( <name5> )	<name5> をリスト型として取得する
list ( <name5> )	リストとして <name5> を得る
list ( <name2> )	<name2> をリストとして得る
list ( <name5> )	リスト型として <name5> を得る
list ( <name1> )	<name1> をリスト型として得る
list ( <name6> )	リスト型として <name6> を取得する
list ( <name1> )	<name1> をリストとして取得する
list ( <name1> )	リストとして <name1> を取得する
<name5> = list ( <name3> )	<name3> をリスト型として取得して、 <name5> とする
<name1> = list ( <name4> )	<name4> をリスト型として取得した結果を <name1> に代入する
<name5> = list ( <name6> )	リスト型として <name6> を取得し、 <name5> にする
<name1> = list ( <name4> )	リスト型として <name4> を取得した結果を <name1> にする
<name5> = list ( <name6> )	リスト型として <name6> を得、 <name5> にする
<name6> = list ( <name5> )	リスト型として <name5> を得られた結果を <name6> とする
<name6> = list ( <name1> )	リストとして <name1> を得て、 <name6> に代入する
<name6> = list ( <name2> )	リストとして <name2> を得た結果を <name6> に代入する
<name5> = list ( <name2> )	<name2> をリストとして得、 <name5> にする
<name2> = list ( <name5> )	<name5> をリストとして得た結果を <name2> に代入する
<name4> = list ( <name2> )	<name2> をリストとして取得し、 <name4> にする
<name2> = list ( <name5> )	<name5> をリストとして取得した結果を <name2> に代入する
<name3> = list ( <name5> )	<name5> をリスト型として得、 <name3> にする
<name5> = list ( <name1> )	<name1> をリスト型として得た結果を <name5> に代入する
<name6> = list ( <name1> )	リストとして <name1> を取得し、 <name6> に代入する
<name4> = list ( <name5> )	リストとして <name5> を取得された結果を <name4> にする
type ( <name5> )	<name5> の型
type ( <name4> )	<name4> のタイプ
type ( <name4> )	<name4> のタイプを得る
type ( <name2> )	<name2> の型を取得する
type ( <name1> )	<name1> の型を確認する
type ( <name6> )	<name6> のタイプを確認する
<name5> == <name1>	<name5> と <name1> が等しいかどうか
<name6> != <name2>	<name6> と <name2> が等しくないかどうか
if <name1> == <name4> :	もし <name1> と <name4> が等しいならば
if <name4> != <name6> :	<name4> と <name6> が等しくない場合
while <name5> == <name1> :	<name5> と <name1> が等しい間
while <name6> != <name5> :	<name6> と <name5> が等しくない間
<name2> == <name5>	<name2> が <name5> と等しいかどうか
<name6> != <name1>	<name6> が <name1> と等しくないかどうか
if <name5> == <name4> :	もし <name5> が <name4> と等しい場合
if <name5> != <name3> :	<name5> が <name3> と等しくないならば
while <name6> == <name5> :	<name6> が <name5> と等しい間
while <name6> != <name1> :	<name6> が <name1> と等しくない間
<name1> == <name5>	<name1> が <name5> かどうか
<name4> != <name6>	<name4> が <name6> でないかどうか
if <name2> == <name1> :	<name2> が <name1> なら
if <name5> != <name4> :	<name5> が <name4> でないなら
while <name6> == <name4> :	<name6> が <name4> の間
while <name4> != <name1> :	<name4> が <name1> でない間
<name2> >  <name4>	<name2> が <name4> より大きいかどうか
not <name4> >  <name1>	<name4> が <name1> より大きくないかどうか
if <name2> >  <name3> :	<name2> が <name3> より大きい場合
if not <name2> >  <name5> :	もし <name2> が <name5> より大きくない場合
while <name5> >  <name6> :	<name5> が <name6> より大きい間
while not <name6> >  <name1> :	<name6> が <name1> より大きくない間
<name5> >  <name6>	<name5> が <name6> よりも大きいかどうか
not <name1> >  <name6>	<name1> が <name6> よりも大きくないかどうか
if <name6> >  <name1> :	もし <name6> が <name1> よりも大きい場合
if not <name4> >  <name5> :	もし <name4> が <name5> よりも大きくないとき
while <name4> >  <name6> :	<name4> が <name6> よりも大きい間
while not <name5> >  <name2> :	<name5> が <name2> よりも大きくない間
<name6> <  <name1>	<name6> が <name1> より小さいかどうか
not <name2> <  <name6>	<name2> が <name6> より小さくないかどうか
if <name3> <  <name1> :	<name3> が <name1> より小さいとき
if not <name3> <  <name5> :	もし <name3> が <name5> より小さくない場合
while <name1> <  <name3> :	<name1> が <name3> より小さい間
while not <name1> <  <name3> :	<name1> が <name3> より小さくない間
<name5> <  <name3>	<name5> が <name3> よりも小さいかどうか
not <name2> <  <name1>	<name2> が <name1> よりも小さくないかどうか
if <name4> <  <name6> :	もし <name4> が <name6> よりも小さいならば
if not <name3> <  <name1> :	<name3> が <name1> よりも小さくないならば
