print ( <val3> )	<val3> とプリントする
plt . plot ( <name2> , <name6> , color = <name4> )	<name2> と <name6> を <name4> 色のグラフで表示する
plt . plot ( <name6> , <name5> , color = <name1> )	<name6> と <name5> を <name1> 色のグラフで描写する
plt . hist ( <name1> )	<name1> の柱状図をプロットする
plt . hist ( <name3> )	<name3> の度数分布図をプロットする
plt . hist ( <name2> )	<name2> の柱状グラフを描写する
plt . hist ( <name2> )	<name2> をヒストグラムでプロットする
plt . hist ( <name1> )	<name1> を柱状グラフで描写する
plt . hist ( <name6> )	<name6> を度数分布図で表示する
plt . hist ( <name3> )	<name3> をヒストグラムにする
plt . hist ( <name5> )	<name5> を柱状グラフにする
plt . hist ( <name6> )	度数分布図に <name6> をする
plt . hist ( <name1> )	ヒストグラムを用いて <name1> をプロットする
plt . hist ( <name2> )	柱状図として <name2> を出力する
plt . hist ( <name1> )	柱状図を用いて <name1> を出力する
plt . hist ( <name6> , bins = <val2> )	<name6> のヒストグラムをビンの数を <val2> としてプロットする
plt . hist ( <name4> , bins = <val5> )	<name4> のヒストグラムを <val5> としてビンをプロットする
plt . hist ( <name2> , bins = <val6> )	<name2> の柱状図を区間の数を <val6> として出力する
plt . hist ( <name5> , bins = <val3> )	ビン数を <val3> として <name5> のヒストグラムをプロットする
plt . hist ( <name3> , bins = <val1> )	<name3> の柱状図を <val1> としてビンの数を出力する
plt . hist ( <name3> , bins = <val1> )	ビンを <val1> として <name3> の柱状図を出力する
plt . hist ( <name2> , bins = <val6> )	<name2> をビン数 <val6> のヒストグラムを用いてプロットする
plt . hist ( <name1> , bins = <val6> )	<name1> をビン <val6> のヒストグラムを用いてプロットする
plt . hist ( <name5> , bins = <val2> )	<name5> をビンの数 <val2> の柱状図を用いて出力する
plt . hist ( <name1> , bins = <val4> )	<name1> をビン数 <val4> のヒストグラムにする
plt . hist ( <name1> , bins = <val3> )	ビン <val3> の柱状図に <name1> をする
plt . hist ( <name2> , bins = <val1> )	<name2> を区関数 <val1> の柱状グラフにする
plt . hist ( <name1> , range = ( <val3> , <val2> ) )	<name1> のヒストグラムを <val3> から <val2> の間でプロットする
plt . hist ( <name6> , range = ( <val2> , <val4> ) )	<name6> の度数分布図を <val2> から <val4> の間で表示する
plt . hist ( <name4> , range = ( <val1> , <val6> ) )	<name4> のヒストグラムを <val1> から <val6> の範囲でプロットする
plt . hist ( <name1> , range = ( <val6> , <val3> ) )	<val6> から <val3> の区間で <name1> のヒストグラムをプロットする
plt . hist ( <name5> , range = ( <val2> , <val3> ) )	<val2> から <val3> の範囲で <name5> の度数分布図を表示する
plt . hist ( <name1> , range = ( <val2> , <val6> ) )	<val2> から <val6> の範囲で <name1> の柱状グラフを描写する
plt . hist ( <name1> , range = ( <val4> , <val3> ) )	<name1> を <val4> から <val3> の区間のヒストグラムを用いてプロットする
plt . hist ( <name6> , range = ( <val5> , <val1> ) )	<name6> を <val5> から <val1> の範囲の度数分布図を用いて表示する
plt . hist ( <name4> , range = ( <val5> , <val3> ) )	<val5> から <val3> の範囲の度数分布図を <name4> を用いて表示する
plt . hist ( <name4> , range = ( <val3> , <val5> ) )	<val3> から <val5> の区間のヒストグラムを用いて <name4> をプロットする
plt . hist ( <name1> , range = ( <val5> , <val3> ) )	用いて <name1> を <val5> から <val3> の範囲の度数分布図を表示する
plt . hist ( <name3> , range = ( <val1> , <val5> ) )	用いて <name3> を <val1> から <val5> の間の柱状グラフを描写する
plt . hist ( <name5> , range = ( <val6> , <val2> ) )	<name5> を <val6> から <val2> の区間のヒストグラムにする
plt . hist ( <name1> , range = ( <val3> , <val6> ) )	<val3> から <val6> の区間のヒストグラムに <name1> をする
plt . hist ( <name2> , range = ( <val5> , <val3> ) )	<name2> を <val5> から <val3> の間の柱状図にする
plt . hist ( <name2> [ <val3> ] )	<name2> の <val3> についてのヒストグラムをプロットする
plt . hist ( <name4> [ <val5> ] )	<name4> の <val5> についての柱状図を出力する
plt . hist ( <name5> [ <val6> ] )	<name5> データフレームの <val6> カラムについての柱状図を出力する
plt . hist ( <name4> [ <val2> ] )	<name4> の <val2> をヒストグラムでプロットする
plt . hist ( <name2> [ <val5> ] )	<name2> データフレームの <val5> カラムをヒストグラムでプロットする
plt . hist ( <name6> [ <val2> ] )	<name6> の <val2> を度数分布図で表示する
plt . hist ( <name4> [ <val3> ] )	<name4> の <val3> をヒストグラムにする
plt . hist ( <name2> [ <val4> ] )	<name2> データフレームの <val4> カラムを度数分布図にする
plt . hist ( <name2> [ <val5> ] )	<name2> データフレームの <val5> カラムを柱状グラフにする
plt . hist ( <name6> [ <val1> ] )	ヒストグラムを用いて <name6> の <val1> をプロットする
plt . hist ( <name3> [ <val1> ] )	柱状グラフを用いてデータフレーム <name3> のカラム <val1> を描写する
plt . hist ( <name1> [ <val3> ] )	用いてデータフレーム <name1> のカラム <val3> を柱状グラフを描写する
plt . boxplot ( <name6> )	<name6> についての箱ひげ図をプロットする
plt . boxplot ( <name1> )	<name1> についてのボックスチャートを描写する
plt . boxplot ( <name3> )	<name3> についての箱髭図を描写する
plt . boxplot ( <name3> )	<name3> を箱ひげ図でプロットする
plt . boxplot ( <name4> )	<name4> を箱ひげ図で描写する
plt . boxplot ( <name2> )	<name2> を箱ひげ図で表示する
plt . boxplot ( <name2> )	<name2> を箱ひげ図にする
plt . boxplot ( <name4> )	箱ひげ図に <name4> をする
plt . boxplot ( <name1> )	箱ひげ図を用いて <name1> をプロットする
plt . boxplot ( <name1> )	用いて <name1> を箱ひげ図を描写する
plt . boxplot ( <name5> )	用いて <name5> を箱ひげ図を表示する
plt . boxplot ( [ <name3> , <name6> ] )	<name3> と <name6> についての箱ひげ図をプロットする
plt . boxplot ( [ <name6> , <name3> ] )	<name6> と <name3> についての箱ひげ図を描写する
plt . boxplot ( [ <name1> , <name5> ] )	<name1> と <name5> についての箱ひげ図を出力する
plt . boxplot ( [ <name3> , <name1> ] )	<name3> と <name1> を箱ひげ図にプロットする
plt . boxplot ( [ <name1> , <name2> ] )	<name1> と <name2> を箱ひげ図に描写する
plt . boxplot ( [ <name5> , <name3> ] )	<name5> と <name3> を箱ひげ図に表示する
plt . boxplot ( [ <name4> , <name1> ] )	<name4> と <name1> を箱ひげ図にする
plt . boxplot ( [ <name5> , <name1> ] )	箱ひげ図に <name5> と <name1> をする
plt . boxplot ( [ <name6> , <name4> ] )	箱ひげ図を用いて <name6> と <name4> をプロットする
plt . boxplot ( [ <name1> , <name2> ] )	用いて <name1> と <name2> を箱ひげ図をプロットする
plt . boxplot ( [ <name3> , <name4> ] )	箱ひげ図を用いて <name3> と <name4> を描写する
plt . boxplot ( [ <name3> , <name4> , <name1> ] )	<name3> と <name4> と <name1> についての箱ひげ図をプロットする
plt . boxplot ( [ <name3> , <name2> , <name4> ] )	<name3> と <name2> と <name4> についての箱ひげ図を表示する
plt . boxplot ( [ <name6> , <name2> , <name3> ] )	<name6> と <name2> と <name3> についての箱ひげ図を描写する
plt . boxplot ( [ <name1> , <name3> , <name5> ] )	<name1> と <name3> と <name5> を箱ひげ図にプロットする
plt . boxplot ( [ <name2> , <name1> , <name5> ] )	<name2> と <name1> と <name5> を箱ひげ図に表示する
plt . boxplot ( [ <name2> , <name4> , <name3> ] )	箱ひげ図に <name2> と <name4> と <name3> を表示する
plt . boxplot ( [ <name2> , <name5> , <name3> ] )	<name2> と <name5> と <name3> を箱ひげ図にする
plt . boxplot ( [ <name3> , <name2> , <name5> ] )	箱ひげ図に <name3> と <name2> と <name5> をする
plt . boxplot ( [ <name1> , <name6> , <name4> ] )	箱ひげ図を用いて <name1> と <name6> と <name4> をプロットする
plt . boxplot ( [ <name3> , <name6> , <name5> ] )	箱ひげ図を用いて <name3> と <name6> と <name5> を出力する
plt . boxplot ( [ <name5> , <name2> , <name3> ] )	用いて <name5> と <name2> と <name3> を箱ひげ図をプロットする
plt . boxplot ( <name2> [ <val6> ] )	<name2> において <val6> の箱ひげ図をプロットする
plt . boxplot ( <name5> [ <val3> ] )	<name5> データフレームにおいて <val3> カラムの箱ひげ図を表示する
plt . boxplot ( <name1> [ <val6> ] )	<name1> において <val6> の箱ひげ図を表示する
plt . boxplot ( <name2> [ <val3> ] )	<name2> の <val3> についての箱ひげ図をプロットする
plt . boxplot ( <name3> [ <val5> ] )	データフレーム <name3> のカラム <val5> についての箱ひげ図を描写する
plt . boxplot ( <name1> [ <val3> ] )	<name1> データフレームの <val3> カラムについての箱ひげ図を描写する
plt . boxplot ( <name5> [ <val4> ] )	<name5> の <val4> を箱ひげ図にプロットする
plt . boxplot ( <name2> [ <val1> ] )	<name2> の <val1> を箱ひげ図に描写する
plt . boxplot ( <name1> [ <val6> ] )	データフレーム <name1> のカラム <val6> を箱ひげ図に表示する
plt . boxplot ( <name5> [ <val4> ] )	箱ひげ図を用いて <name5> の <val4> をプロットする
plt . boxplot ( <name3> [ <val5> ] )	用いてデータフレーム <name3> のカラム <val5> を箱ひげ図を表示する
plt . boxplot ( <name5> [ <val4> ] )	用いて <name5> データフレームの <val4> カラムを箱ひげ図を描写する
plt . boxplot ( [ <name6> [ <val3> ] , <name6> [ <val4> ] , <name6> [ <val2> ] ] )	<name6> の <val3> と <val4> と <val2> についての箱ひげ図をプロットする
plt . boxplot ( [ <name5> [ <val2> ] , <name5> [ <val1> ] , <name5> [ <val4> ] ] )	データフレーム <name5> のカラム <val2> とカラム <val1> とカラム <val4> についての箱ひげ図を表示する
plt . boxplot ( [ <name2> [ <val6> ] , <name2> [ <val4> ] , <name2> [ <val1> ] ] )	データフレーム <name2> のカラム <val6> とカラム <val4> とカラム <val1> についての箱ひげ図をプロットする
plt . boxplot ( [ <name4> [ <val3> ] , <name4> [ <val6> ] , <name4> [ <val5> ] ] )	同じグラフ内で <name4> の <val3> と <val6> と <val5> を箱ひげ図でプロットする
plt . boxplot ( [ <name4> [ <val1> ] , <name4> [ <val2> ] , <name4> [ <val3> ] ] )	<name4> データフレームの <val1> カラムと <val2> カラムと <val3> カラムを箱ひげ図で描写する
plt . boxplot ( [ <name5> [ <val2> ] , <name5> [ <val6> ] , <name5> [ <val1> ] ] )	データフレーム <name5> のカラム <val2> とカラム <val6> とカラム <val1> を箱ひげ図でプロットする
plt . boxplot ( [ <name5> [ <val2> ] , <name5> [ <val4> ] , <name5> [ <val1> ] ] )	<name5> の <val2> と <val4> と <val1> の箱ひげ図を一枚のグラフでプロットする
plt . boxplot ( [ <name6> [ <val2> ] , <name6> [ <val3> ] , <name6> [ <val5> ] ] )	データフレーム <name6> のカラム <val2> とカラム <val3> とカラム <val5> の箱ひげ図を一枚のグラフで描写する
plt . boxplot ( [ <name2> [ <val4> ] , <name2> [ <val3> ] , <name2> [ <val1> ] ] )	<name2> データフレームの <val4> カラムと <val3> カラムと <val1> カラムの箱ひげ図を一枚のグラフで出力する
sns . pairplot ( <name3> [ [ <val5> , <val6> , <val1> ] ] )	<name3> において <val5> と <val6> と <val1> の関係性を一気にプロットする
sns . pairplot ( <name5> [ [ <val6> , <val4> , <val2> ] ] )	<name5> データフレームにおいて <val6> カラムと <val4> カラムと <val2> カラムの関係性を一度に出力する
sns . pairplot ( <name3> [ [ <val1> , <val6> , <val4> ] ] )	データフレーム <name3> においてカラム <val1> とカラム <val6> とカラム <val4> の関係性を一気にプロットする
sns . pairplot ( <name2> [ [ <val6> , <val1> , <val5> ] ] )	<name2> の <val6> と <val1> と <val5> について関係性を一気にプロットする
