print ( <val2> )	<val2> とプリントする
plt . boxplot ( [ <name1> , <name3> ] )	<name1> と <name3> についての箱ひげ図を描写する
plt . boxplot ( [ <name5> , <name6> ] )	<name5> と <name6> を箱ひげ図にプロットする
plt . boxplot ( [ <name2> , <name6> ] )	<name2> と <name6> を箱ひげ図に描写する
plt . boxplot ( [ <name4> , <name6> ] )	箱ひげ図に <name4> と <name6> を描写する
plt . boxplot ( [ <name5> , <name2> ] )	<name5> と <name2> を箱ひげ図にする
plt . boxplot ( [ <name5> , <name4> ] )	箱ひげ図に <name5> と <name4> をする
plt . boxplot ( [ <name5> , <name1> ] )	箱ひげ図を用いて <name5> と <name1> をプロットする
plt . boxplot ( [ <name1> , <name4> ] )	箱ひげ図を用いて <name1> と <name4> を表示する
plt . boxplot ( [ <name2> , <name1> ] )	箱ひげ図を用いて <name2> と <name1> を描画する
plt . boxplot ( [ <name5> , <name3> , <name2> ] )	<name5> と <name3> と <name2> についての箱ひげ図をプロットする
plt . boxplot ( [ <name4> , <name5> , <name1> ] )	<name4> と <name5> と <name1> についての箱ひげ図を表示する
plt . boxplot ( [ <name6> , <name1> , <name5> ] )	<name6> と <name1> と <name5> についての箱ひげ図を描写する
plt . boxplot ( [ <name3> , <name4> , <name1> ] )	<name3> と <name4> と <name1> を箱ひげ図にプロットする
plt . boxplot ( [ <name3> , <name6> , <name2> ] )	箱ひげ図に <name3> と <name6> と <name2> を描画する
plt . boxplot ( [ <name2> , <name1> , <name4> ] )	<name2> と <name1> と <name4> を箱ひげ図に表示する
plt . boxplot ( [ <name6> , <name1> , <name5> ] )	<name6> と <name1> と <name5> を箱ひげ図にする
plt . boxplot ( [ <name1> , <name3> , <name2> ] )	箱ひげ図に <name1> と <name3> と <name2> をする
plt . boxplot ( [ <name4> , <name6> , <name5> ] )	箱ひげ図を用いて <name4> と <name6> と <name5> をプロットする
plt . boxplot ( [ <name1> , <name5> , <name2> ] )	用いて <name1> と <name5> と <name2> を箱ひげ図をプロットする
plt . boxplot ( [ <name6> , <name3> , <name1> ] )	箱ひげ図を用いて <name6> と <name3> と <name1> を描写する
plt . boxplot ( <name6> [ <val4> ] )	<name6> において <val4> の箱ひげ図をプロットする
plt . boxplot ( <name6> [ <val4> ] )	<name6> において <val4> の箱ひげ図を表示する
plt . boxplot ( <name3> [ <val1> ] )	データフレーム <name3> においてカラム <val1> の箱ひげ図を描写する
plt . boxplot ( <name4> [ <val2> ] )	<name4> の <val2> についての箱ひげ図をプロットする
plt . boxplot ( <name6> [ <val1> ] )	<name6> の <val1> についての箱ひげ図を描写する
plt . boxplot ( <name2> [ <val6> ] )	<name2> の <val6> についての箱ひげ図を描画する
plt . boxplot ( <name4> [ <val3> ] )	<name4> の <val3> を箱ひげ図にプロットする
plt . boxplot ( <name1> [ <val4> ] )	箱ひげ図に <name1> データフレームの <val4> カラムをプロットする
plt . boxplot ( <name6> [ <val5> ] )	箱ひげ図に <name6> データフレームの <val5> カラムを表示する
plt . boxplot ( <name2> [ <val3> ] )	箱ひげ図を用いて <name2> の <val3> をプロットする
plt . boxplot ( <name1> [ <val2> ] )	箱ひげ図を用いて <name1> の <val2> を描写する
plt . boxplot ( <name1> [ <val3> ] )	用いて <name1> の <val3> を箱ひげ図を表示する
plt . boxplot ( [ <name3> [ <val5> ] , <name3> [ <val6> ] , <name3> [ <val2> ] ] )	<name3> の <val5> と <val6> と <val2> についての箱ひげ図をプロットする
plt . boxplot ( [ <name3> [ <val5> ] , <name3> [ <val1> ] , <name3> [ <val4> ] ] )	データフレーム <name3> のカラム <val5> とカラム <val1> とカラム <val4> についての箱ひげ図を表示する
plt . boxplot ( [ <name1> [ <val2> ] , <name1> [ <val6> ] , <name1> [ <val3> ] ] )	データフレーム <name1> のカラム <val2> とカラム <val6> とカラム <val3> についての箱ひげ図を描画する
plt . boxplot ( [ <name1> [ <val2> ] , <name1> [ <val3> ] , <name1> [ <val4> ] ] )	同じグラフ内で <name1> の <val2> と <val3> と <val4> を箱ひげ図でプロットする
plt . boxplot ( [ <name3> [ <val6> ] , <name3> [ <val5> ] , <name3> [ <val4> ] ] )	<name3> の <val6> と <val5> と <val4> を箱ひげ図で描画する
plt . boxplot ( [ <name5> [ <val6> ] , <name5> [ <val1> ] , <name5> [ <val2> ] ] )	同じグラフ内でデータフレーム <name5> のカラム <val6> とカラム <val1> とカラム <val2> を箱ひげ図で表示する
plt . boxplot ( [ <name2> [ <val6> ] , <name2> [ <val5> ] , <name2> [ <val1> ] ] )	<name2> の <val6> と <val5> と <val1> の箱ひげ図を一枚のグラフでプロットする
plt . boxplot ( [ <name3> [ <val6> ] , <name3> [ <val5> ] , <name3> [ <val2> ] ] )	データフレーム <name3> のカラム <val6> とカラム <val5> とカラム <val2> の箱ひげ図を一枚のグラフで表示する
plt . boxplot ( [ <name2> [ <val6> ] , <name2> [ <val5> ] , <name2> [ <val1> ] ] )	<name2> の <val6> と <val5> と <val1> の箱ひげ図を一枚のグラフで表示する
sns . pairplot ( <name2> [ [ <val4> , <val6> , <val1> ] ] )	<name2> において <val4> と <val6> と <val1> の関係性を一気にプロットする
sns . pairplot ( <name2> [ [ <val5> , <val4> , <val1> ] ] )	データフレーム <name2> においてカラム <val5> とカラム <val4> とカラム <val1> の関係性を一度に描写する
sns . pairplot ( <name2> [ [ <val4> , <val1> , <val6> ] ] )	<name2> において <val4> と <val1> と <val6> の関係性を一度に描画する
sns . pairplot ( <name4> [ [ <val1> , <val5> , <val2> ] ] )	<name4> の <val1> と <val5> と <val2> について関係性を一気にプロットする
sns . pairplot ( <name3> [ [ <val4> , <val5> , <val2> ] ] )	一気にデータフレーム <name3> のカラム <val4> とカラム <val5> とカラム <val2> について関係性を描画する
sns . pairplot ( <name2> [ [ <val3> , <val6> , <val1> ] ] )	一気に <name2> の <val3> と <val6> と <val1> について関係性を描写する
plt . bar ( <name6> , <name4> )	横軸を <name6> とした <name4> の棒グラフをプロットする
plt . bar ( <name1> , Y )	<name1> とした Y の縦方向の棒グラフを横軸をプロットする
plt . bar ( <name4> , Y )	<name4> とした Y の鉛直棒グラフを横軸をプロットする
plt . bar ( <name2> , <name6> )	横軸を <name2> として <name6> の縦棒グラフをプロットする
plt . bar ( <name4> , <name2> )	横軸を <name2> の縦棒グラフを <name4> としてプロットする
plt . bar ( <name4> , <name2> )	x 座標を <name4> として <name2> の棒グラフを表示する
plt . barh ( <name3> , <name6> )	縦軸を <name3> とした <name6> の横向き棒グラフをプロットする
plt . barh ( <name6> , <name3> )	<name6> とした <name3> の横向き棒グラフを y 座標を表示する
plt . barh ( <name4> , <name3> )	グラフの y 軸を <name4> とした <name3> の棒グラフを描写する
plt . barh ( <name6> , <name3> )	縦軸を <name6> として <name3> の横棒グラフをプロットする
plt . barh ( <name1> , Y )	<name1> として Y の横棒グラフを縦軸をプロットする
plt . barh ( <name5> , <name4> )	y 軸を <name4> の横向き棒グラフを <name5> として描画する
plt . bar ( <name1> , <name2> , width = <val4> )	グラフ幅を <val4> として横軸を <name1> とした <name2> の垂直棒グラフをプロットする
plt . bar ( <name1> , <name6> , width = <val2> )	<name1> 軸をグラフ幅を <name1> とした <name6> の棒グラフを <val2> として描画する
plt . bar ( <name6> , <name1> , width = <val4> )	グラフ幅を <val4> として <name6> 座標を <name6> とした <name1> の垂直棒グラフを表示する
plt . bar ( <name6> , <name1> , width = <val4> )	棒と棒の隙間を <val4> として横軸を <name6> とした <name1> の縦向きの棒グラフをプロットする
plt . bar ( <name3> , <name2> , width = <val6> )	棒と棒の隙間を <name3> とした <name2> の縦向きの棒グラフを <val6> として横軸をプロットする
plt . bar ( <name6> , <name3> , width = <val5> )	グラフの <name6> 軸を <val5> として棒と棒の隙間を <name6> とした <name3> の棒グラフを描写する
plt . bar ( <name3> , <name6> , align = 'center' )	棒グラフの位置を真ん中として、横軸を <name3> とした <name6> の縦棒グラフをプロットする
plt . bar ( <name6> , <name2> , align = 'center' )	真ん中として、 <name6> 軸を <name6> とした <name2> の縦方向の棒グラフを棒グラフの位置を描画する
plt . bar ( <name2> , <name3> , align = 'center' )	棒グラフの位置を <name2> とした <name3> の垂直棒グラフを中心に設定して、グラフの <name2> 軸を描写する
plt . bar ( <name4> , <name3> , align = 'center' )	棒グラフの位置を真ん中として <name4> と <name3> の縦棒グラフをプロットする
plt . bar ( <name5> , <name3> , align = 'center' )	真ん中として棒グラフの位置を <name5> と <name3> の縦棒グラフをプロットする
plt . bar ( <name6> , <name5> , align = 'center' )	棒グラフの位置を <name6> と <name5> の縦向き棒グラフを真ん中としてプロットする
plt . xticks ( <name2> , [ <val3> , <val6> , <val5> ] )	横軸のラベルを <name2> から <val3> 、 <val6> 、 <val5> へ変更する
plt . xticks ( <name5> , [ <val6> , <val2> , <val3> ] )	グラフの <name5> 軸のラベルを <name5> から <val6> 、 <val2> 、 <val3> へ変更する
plt . xticks ( <name2> , [ <val6> , <val5> , <val3> ] )	<name2> 軸のラベルを <name2> から <val6> 、 <val5> 、 <val3> へ変更する
plt . xticks ( <name3> , [ <val5> , <val4> , <val2> ] )	棒グラフの軸ラベルを <name3> から <val5> 、 <val4> 、 <val2> へ変更する
plt . xticks ( <name4> , [ <val1> , <val3> , <val2> ] )	棒グラフの軸名を <name4> から <val1> 、 <val3> 、 <val2> へ変更する
plt . xticks ( <name4> , [ <val5> , <val1> , <val2> ] )	棒グラフの軸の名前を <name4> から <val5> 、 <val1> 、 <val2> へ変更する
plt . xticks ( <name2> , [ <val4> , <val1> , <val3> ] )	棒グラフの項目を <name2> から <val4> 、 <val1> 、 <val3> へ変更する
plt . xticks ( <name4> , [ <val6> , <val3> , <val1> ] )	棒グラフのそれぞれのラベルを <name4> から <val6> 、 <val3> 、 <val1> へ変更する
plt . xticks ( <name3> , [ <val1> , <val2> , <val6> ] )	棒グラフの項目名を <name3> から <val1> 、 <val2> 、 <val6> へ変更する
plt . barh ( <name3> , <name6> , align = 'center' )	棒グラフの位置を真ん中として縦軸を <name3> とした <name6> の横棒グラフをプロットする
plt . barh ( <name5> , <name2> , align = 'center' )	<name5> とした <name2> の棒グラフを真ん中として <name5> 座標を棒グラフの位置を表示する
plt . barh ( <name4> , <name1> , align = 'center' )	棒グラフの位置を真ん中としてグラフの <name4> 軸を <name4> とした <name1> の横方向の棒グラフを描写する
plt . barh ( <name4> , <name3> , align = 'center' )	軸を <name4> として <name3> の横棒グラフをプロットする
plt . barh ( <name6> , <name4> , align = 'center' )	軸を <name6> として <name4> の水平棒グラフを描写する
plt . barh ( <name1> , <name4> , align = 'center' )	軸を <name4> の水平棒グラフを <name1> として描写する
plt . barh ( y , x , align = 'center' )	棒の位置を中心に設定して横向きの棒グラフをプロットする
plt . barh ( y , x , align = 'center' )	棒の位置を設定して横向きの棒グラフを中心に描写する
plt . barh ( y , x , align = 'center' )	中心に設定して横向きの棒グラフを棒の位置を描写する
plt . yticks ( <name4> , [ <val6> , <val5> , <val2> ] )	縦軸のラベルを <name4> から <val6> 、 <val5> 、 <val2> へ変更する
plt . yticks ( <name1> , [ <val2> , <val5> , <val3> ] )	<name1> 軸のラベルを <name1> から <val2> 、 <val5> 、 <val3> へ変更する
plt . yticks ( <name6> , [ <val5> , <val3> , <val4> ] )	<name6> 座標のラベルを <name6> から <val5> 、 <val3> 、 <val4> へ変更する
plt . yticks ( <name2> , [ <val3> , <val5> , <val6> ] )	棒グラフの項目名を <name2> から <val3> 、 <val5> 、 <val6> へ変更する
plt . yticks ( <name4> , [ <val5> , <val2> , <val6> ] )	棒グラフのそれぞれのラベルを <name4> から <val5> 、 <val2> 、 <val6> へ変更する
plt . yticks ( <name4> , [ <val6> , <val2> , <val3> ] )	棒グラフの項目を <name4> から <val6> 、 <val2> 、 <val3> へ変更する
